Competencia,Roles,Cursos,Clasificación,Especificación,Tipo de desarrollo,Asociado a...
Ruby on Rails,,,Framework,,Back-end,Ruby
RxJava,,,Librería,,Back-end,"Kotlin,Java"
SASS,,,Framework,,Front-end,"HTML,CSS"
Scikit-learn,,,Librería,,Back-end,Python
Scrum,,Introducción a Agile,Marco de trabajo,Metodología ágil,,
Seaborn,Data Scientist,,Librería,,Back-end,Python
Selenium,QA Tester,Testing con Selenium,Testing,Herramienta de testing,Back-end,Python
Serverless,,Revolución Serverless: AWS,Framework,,Back-end,
Shimmer,,,Librería,,Back-end,Kotlin
Simulink,,,Programa,,Back-end,MATLAB
Sinatra,,,Librería,,Back-end,Ruby
Singleton,,,Patrones de diseño y Arquitectura del software,Patrón de creación,Back-end,
Skeleton,,,Framework,,Front-end,"HTML,CSS"
SLF4J,,,Librería,,Back-end,Java
SOAP,,,,Protocolo de comunicación,,
Socket.IO,,Desarrollo de un chat con Socket.io,Librería,,Front-end,JavaScript
SOLID,,,Buena práctica,Clean Code,,
Sonar,QA Tester,,Testing,Herramienta de testing,"Back-end,Front-end","JavaScript,Java"
Spark,,,Framework,,Back-end,Kotlin
Spring,,,Framework,,Back-end,"Kotlin,Java,Groovy"
Spring Boot,,,Librería Modular,,Back-end,"Kotlin,Java,Groovy"
Spring Cloud,,,Librería Modular,,Back-end,"Kotlin,Java,Groovy"
Spring Data,,,Librería Modular,,Back-end,"Kotlin,Java,Groovy"
Spring MVC,,,Librería Modular,,Back-end,"Kotlin,Java,Groovy"
Spring Security,,,Librería Modular,,Back-end,"Kotlin,Java,Groovy"
Spring web flux,,,Librería Modular,,Back-end,"Kotlin,Java,Groovy"
SproutCore,,,Framework,,Front-end,"HTML,CSS"
SQL,"Back-end Developer Junior,Full-Stack Developer Junior,Data Analyst,Data Scientist,Data Scientist Junior",,Lenguaje,,Back-end,
Stetho,,,Librería,,Back-end,Kotlin
Strategy,,,Patrones de diseño y Arquitectura del software,Patrón de comportamiento,Back-end,
Streamlit,"Data Scientist,Data Scientist Junior",,,Business Intelligence,,
Struts,,,Framework,,Back-end,Java
Svelte,,,Framework,,Front-end,JavaScript
SVN,,,Controlador de versiones,,"Back-end,Front-end",
Symfony,,,Framework,,Back-end,PHP
Tableau,Data Analyst,,Software,Business Intelligence,"Back-end,Front-end",
TDD,QA Tester,,Testing,Tipo de testing,Front-end,
TeamCity,,,CI/CD,,,
TensorFlow,,,Librería,,Back-end,Python
Thrift,,,,Protocolo de comunicación,,
Timeouts,,,Patrón de resiliencia,,,
Travis,,,CI/CD,,,
TypeScript,,"Track formativo en React con Material UI y TypeScript. Sesión I: Introducción a Material UI.,Track formativo en React con Material UI y TypeScript. Sesión III: Estilos de MUI,Track formativo en React con Material UI y TypeScript. Sesión II: Sistema Box y Grid,Typescript I,Track formativo en React con Material UI y TypeScript. Sesión IV: Theme & Context: Dark Mode,Typescript II",Lenguaje,,Front-end,
Unified Modeling Language,,,Lenguaje,,Back-end,
Unitarios,QA Tester,,Testing,Tipo de testing,,
Unity,,,,,,
Vert.x,,,Framework,,Back-end,Kotlin
Volt,,,Framework,,Back-end,Ruby
VueJS,,"Vue en el mundo real,Vue en el mundo real (parte 2)",Framework,,Front-end,JavaScript
Vuetify,,,Librería Modular,,Front-end,JavaScript
Xamarin,,,Framework,,Back-end,C#
XML,,,API,Tipo de API,,
YAGNI,,,Buena práctica,Clean Code,,
Zabbix,,,Monitorización,,,
Zebra,,,Framework,,Front-end,"HTML,CSS"
Zend,,,Framework,,Back-end,PHP
SAP,,,,,,
UX,,,,,,
